random forest,201000auto{'activity_auc': 0.8544620511569014, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9309428950863213, 'Washing Machine': 0.9347580332946186, 'Dishwasher': 0.929248046875}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,201000sqrt{'activity_auc': 0.8549629637408904, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9312939811634688, 'Washing Machine': 0.9353310104529616, 'Dishwasher': 0.9278971354166666}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,201000log2{'activity_auc': 0.8544335345319432, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9310497473706706, 'Washing Machine': 0.9340921409214092, 'Dishwasher': 0.9306640625000001}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
ada,0.00150{'activity_auc': 0.7561403156241886, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.6864419715772923, 'Washing Machine': 0.6360588463027488, 'Dishwasher': 0.6730305989583334}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
ada,0.001100{'activity_auc': 0.7561654658836664, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.6985773381569507, 'Washing Machine': 0.6407975222609368, 'Dishwasher': 0.6809000651041667}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
ada,0.001500{'activity_auc': 0.8170182278682655, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.7048281967913786, 'Washing Machine': 0.7067440960123887, 'Dishwasher': 0.7093424479166666}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
ada,0.0150{'activity_auc': 0.8169739582125645, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.7060341011433194, 'Washing Machine': 0.7065582655826558, 'Dishwasher': 0.70947265625}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
ada,0.01100{'activity_auc': 0.8331758853437233, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.7076521500206071, 'Washing Machine': 0.720154858691444, 'Dishwasher': 0.7151204427083333}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
ada,0.01500{'activity_auc': 0.847178847953307, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.757887988276778, 'Washing Machine': 0.7551374370886565, 'Dishwasher': 0.7700032552083332}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
ada,0.150{'activity_auc': 0.8468931358066182, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.7578574590526782, 'Washing Machine': 0.7586372435152924, 'Dishwasher': 0.7705078125}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
